,subject,sessions,agent,loglik,logpostprob,BIC,AIC,params,params,params,params,params,params,params,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges
,,,,,,,,G_td,G_mb,alpQ,lbd,alpT,bias,pers,G_td,G_mb,alpQ,lbd,alpT,bias,pers
9,10,1-4,MF_MB,-46.76959595285871,-54.272317231878795,125.77538320763406,107.53919190571742,3.397287223063311,1.1623680495689934,0.7088962947929777,0.9268940848746607,0.4403592645877864,-0.24650905748344082,-1.5407642763087033,pos,pos,unit,unit,unit,unc,unc
10,11,1-4,MF_MB,-34.11487060121973,-42.08897263682189,100.46593250435609,82.22974120243946,0.6538378760294731,0.5999099278036868,0.6561973165382349,0.5199643895577764,0.3876922131825312,0.6504574700681228,3.372895640415294,pos,pos,unit,unit,unit,unc,unc
11,12,1-4,MF_MB,-30.263482869290094,-36.65704363450052,92.76315704049682,74.52696573858019,2.177399381177683,2.545005361750963,0.23433394749503048,0.5265662982676028,0.46181084071570333,1.6551957005173537,1.5003940511958422,pos,pos,unit,unit,unit,unc,unc
12,13,1-4,MF_MB,-41.71491671044148,-48.991427370103445,115.66602472279959,97.42983342088296,2.8246804820647977,0.7680738271376567,0.8867991859124366,0.8193745282264956,0.5231284406326061,-0.14075200993533105,-0.5137517151809445,pos,pos,unit,unit,unit,unc,unc
13,14,1-4,MF_MB,-33.02998803890932,-43.39035815109232,98.2961673797353,80.05997607781865,2.939844271297998,2.777018519143159,0.940831292916226,0.9258154087973299,0.13802533210905,-0.5727664319068225,-3.154302727519467,pos,pos,unit,unit,unit,unc,unc
14,15,1-4,MF_MB,-56.08403314959648,-62.63555299119268,144.4042576011096,126.16806629919296,2.146555158033529,0.5679436270860717,0.7204926830269477,0.7558141326010582,0.6285270291774385,0.05985419825218637,-0.43344623108693847,pos,pos,unit,unit,unit,unc,unc
15,16,1-4,MF_MB,-59.2292362708271,-66.21281455056858,150.69466384357085,132.4584725416542,1.1064822877066072,1.056245242275369,0.10589039083013244,0.3685168324110166,0.38294656361976764,0.6402188313656256,1.0100059115603208,pos,pos,unit,unit,unit,unc,unc
16,17,1-4,MF_MB,-58.66258211521776,-65.07591878705733,149.56135553235217,131.32516423043552,1.4664298601078607,1.2518685203340347,0.7689170238884694,0.7589024225107998,0.27540585340622714,-0.03588606794578393,-0.1318641698462877,pos,pos,unit,unit,unit,unc,unc
17,18,1-4,MF_MB,-43.35895591378113,-49.71156182588029,118.95410312947891,100.71791182756226,2.2145863814340236,1.5913888643388339,0.800719286355043,0.7677942285844502,0.6228997458907066,0.7160264505810059,-0.3516607459830709,pos,pos,unit,unit,unit,unc,unc
18,19,1-4,MF_MB,-65.92999862504496,-72.45701346369498,164.09618855200657,145.85999725008992,1.6765764263721321,0.6494693105641755,0.18765601331198095,0.6178923795599949,0.4235740618913786,-0.15098931321289108,-0.8504554071300936,pos,pos,unit,unit,unit,unc,unc
