onset	duration	duration2fb	response_time	trial	event	choice1	state	reward
0.0	1.3793876999999992	4.9167248	1.3793876999999992	1	stim1	n/a	n/a	n/a
1.3793876999999988	0.021081007000000682	3.5373371000000007	n/a	1	choice1	1	n/a	n/a
4.916724800000001	0.5782870000000002	3.1000445	0.5782870000000002	1	stim2	n/a	0	n/a
5.4950118	0.021757499999999708	2.5217574999999997	n/a	1	choice2	n/a	0	n/a
8.0167693	1.5	n/a	n/a	1	outcome	n/a	n/a	0
9.5167693	4.5834398	8.233490100000003	n/a	1	ITI_onset	n/a	n/a	n/a
14.1002091	1.6285939999999974	3.6500503000000024	1.6285939999999974	2	stim1	n/a	n/a	n/a
15.7288031	0.004736000000004424	2.0214563000000054	n/a	2	choice1	0	n/a	n/a
17.750259400000004	0.43415959999999904	4.949992999999995	0.43415959999999904	2	stim2	n/a	1	n/a
18.184419	0.01583339999999589	4.515833399999996	n/a	2	choice2	n/a	1	n/a
22.700252399999997	1.5	n/a	n/a	2	outcome	n/a	n/a	1
24.200252399999997	6.066856100000004	9.716916000000005	n/a	2	ITI_onset	n/a	n/a	n/a
30.2671085	0.6197747999999992	3.6500599	0.6197747999999992	3	stim1	n/a	n/a	n/a
30.8868833	0.01356659999999829	3.030285100000001	n/a	3	choice1	0	n/a	n/a
33.9171684	0.555641899999995	5.066664399999994	0.555641899999995	3	stim2	n/a	1	n/a
34.4728103	0.011022499999999127	4.511022499999999	n/a	3	choice2	n/a	1	n/a
38.983832799999995	1.5	n/a	n/a	3	outcome	n/a	n/a	1
40.483832799999995	6.066859299999996	14.566988100000001	n/a	3	ITI_onset	n/a	n/a	n/a
46.55069209999999	0.462697800000009	8.500128800000006	0.462697800000009	4	stim1	n/a	n/a	n/a
47.01338990000001	0.02064289999999164	8.037430999999996	n/a	4	choice1	0	n/a	n/a
55.050820900000005	0.3843868999999977	2.9000247999999993	0.3843868999999977	4	stim2	n/a	1	n/a
55.4352078	0.015637900000001537	2.5156379000000015	n/a	4	choice2	n/a	1	n/a
57.9508457	1.5	n/a	n/a	4	outcome	n/a	n/a	1
59.4508457	3.5667645000000046	6.300103000000003	n/a	4	ITI_onset	n/a	n/a	n/a
63.01761020000001	0.696244200000001	2.733338499999998	0.696244200000001	5	stim1	n/a	n/a	n/a
63.7138544	0.0204204999999929	2.037094299999997	n/a	5	choice1	0	n/a	n/a
65.7509487	0.36989530000000376	2.3834446999999925	0.36989530000000376	5	stim2	n/a	1	n/a
66.120844	0.013549399999988963	2.013549399999989	n/a	5	choice2	n/a	1	n/a
68.1343934	1.5	n/a	n/a	5	outcome	n/a	n/a	1
69.6343934	2.566681800000006	8.816808500000013	n/a	5	ITI_onset	n/a	n/a	n/a
72.2010752	0.7217611000000034	6.250126700000008	0.7217611000000034	6	stim1	n/a	n/a	n/a
72.9228363	0.01157719999999972	5.528365600000004	n/a	6	choice1	0	n/a	n/a
78.4512019	0.5776632999999856	4.583341199999995	0.5776632999999856	6	stim2	n/a	1	n/a
79.0288652	0.0056779000000096854	4.00567790000001	n/a	6	choice2	n/a	1	n/a
83.03454310000001	1.5	n/a	n/a	6	outcome	n/a	n/a	1
84.53454310000001	5.566800999999992	11.100214599999992	n/a	6	ITI_onset	n/a	n/a	n/a
90.10134409999999	0.5022293000000063	5.5334136	0.5022293000000063	7	stim1	n/a	n/a	n/a
90.6035734	0.014424199999994017	5.031184299999993	n/a	7	choice1	0	n/a	n/a
95.6347577	0.3199893000000011	6.833344500000006	0.3199893000000011	7	stim2	n/a	1	n/a
95.954747	0.013355200000005426	6.513355200000006	n/a	7	choice2	n/a	1	n/a
102.4681022	1.5	n/a	n/a	7	outcome	n/a	n/a	1
103.9681022	6.566882599999997	11.48362569999999	n/a	7	ITI_onset	n/a	n/a	n/a
110.5349848	0.3957082999999984	4.916743099999993	0.3957082999999984	8	stim1	n/a	n/a	n/a
110.9306931	0.004286500000001979	4.521034799999994	n/a	8	choice1	0	n/a	n/a
115.4517279	0.43946860000002197	2.9500205000000133	0.43946860000002197	8	stim2	n/a	1	n/a
115.89119650000002	0.010551899999991293	2.5105518999999914	n/a	8	choice2	n/a	1	n/a
118.40174840000002	1.5	n/a	n/a	8	outcome	n/a	n/a	0
119.90174840000002	2.5667759999999835	7.050171299999987	n/a	8	ITI_onset	n/a	n/a	n/a
122.46852439999999	0.4597509000000136	4.483395300000004	0.4597509000000136	9	stim1	n/a	n/a	n/a
122.92827530000001	0.006899100000009639	4.0236443999999905	n/a	9	choice1	0	n/a	n/a
126.9519197	0.4286009000000195	6.933322100000019	0.4286009000000195	9	stim2	n/a	1	n/a
127.3805206	0.004721199999999953	6.5047212	n/a	9	choice2	n/a	1	n/a
133.88524180000002	1.5	n/a	n/a	9	outcome	n/a	n/a	1
135.38524180000002	5.066886599999998	7.466905199999979	n/a	9	ITI_onset	n/a	n/a	n/a
140.4521284	0.3675239000000001	2.400018599999981	0.3675239000000001	10	stim1	n/a	n/a	n/a
140.81965230000003	0.015785499999998138	2.032494699999981	n/a	10	choice1	1	n/a	n/a
142.852147	0.5326518999999971	4.049988800000021	0.5326518999999971	10	stim2	n/a	1	n/a
143.38479889999996	0.01733690000002389	3.517336900000024	n/a	10	choice2	n/a	1	n/a
146.9021358	1.5	n/a	n/a	10	outcome	n/a	n/a	1
148.4021358	7.066856	12.150258899999987	n/a	10	ITI_onset	n/a	n/a	n/a
155.46899180000003	0.5541338999999862	5.083402899999986	0.5541338999999862	11	stim1	n/a	n/a	n/a
156.02312569999998	0.012545799999992596	4.529269	n/a	11	choice1	1	n/a	n/a
160.55239469999998	0.6733269000000146	4.183355899999995	0.6733269000000146	11	stim2	n/a	1	n/a
161.22572159999999	0.010028999999980442	3.5100289999999803	n/a	11	choice2	n/a	1	n/a
164.73575060000002	1.5	n/a	n/a	11	outcome	n/a	n/a	1
166.23575060000002	3.066790500000003	6.533505399999995	n/a	11	ITI_onset	n/a	n/a	n/a
169.30254109999998	0.44013969999999975	3.466714899999992	0.44013969999999975	12	stim1	n/a	n/a	n/a
169.74268080000002	0.009861399999994318	3.026575199999992	n/a	12	choice1	1	n/a	n/a
172.76925599999998	0.5123374000000185	5.016668900000019	0.5123374000000185	12	stim2	n/a	0	n/a
173.28159340000002	0.004331500000000233	4.5043315	n/a	12	choice2	n/a	0	n/a
177.7859249	1.5	n/a	n/a	12	outcome	n/a	n/a	0
179.2859249	6.566869099999982	9.066922099999996	n/a	12	ITI_onset	n/a	n/a	n/a
185.85279399999996	0.4663172000000195	2.5000530000000145	0.4663172000000195	13	stim1	n/a	n/a	n/a
186.3191112	0.01701019999998971	2.0337357999999948	n/a	13	choice1	0	n/a	n/a
188.352847	0.5862761999999929	2.600135000000009	0.5862761999999929	13	stim2	n/a	0	n/a
188.93912319999998	0.013858800000016346	2.0138588000000164	n/a	13	choice2	n/a	0	n/a
190.95298200000002	1.5	n/a	n/a	13	outcome	n/a	n/a	0
192.45298200000002	3.56665419999999	9.600031599999987	n/a	13	ITI_onset	n/a	n/a	n/a
196.01963619999998	0.5000236999999906	6.033377399999997	0.5000236999999906	14	stim1	n/a	n/a	n/a
196.51965989999997	0.01676270000002114	5.533353700000007	n/a	14	choice1	0	n/a	n/a
202.05301359999999	0.6225774000000093	2.63338930000001	0.6225774000000093	14	stim2	n/a	0	n/a
202.675591	0.010811900000000605	2.0108119000000007	n/a	14	choice2	n/a	0	n/a
204.68640290000002	1.5	n/a	n/a	14	outcome	n/a	n/a	0
206.18640290000002	7.566800300000002	13.516912099999987	n/a	14	ITI_onset	n/a	n/a	n/a
213.75320320000003	0.4274142999999749	5.950111799999984	0.4274142999999749	15	stim1	n/a	n/a	n/a
214.18061749999998	0.005946600000024773	5.522697500000009	n/a	15	choice1	0	n/a	n/a
219.70331499999998	0.45407649999999555	4.466646200000017	0.45407649999999555	15	stim2	n/a	1	n/a
220.15739150000002	0.01256970000002184	4.0125697000000216	n/a	15	choice2	n/a	1	n/a
224.1699612	1.5	n/a	n/a	15	outcome	n/a	n/a	1
225.6699612	3.083465199999977	7.183546999999991	n/a	15	ITI_onset	n/a	n/a	n/a
228.75342639999997	1.563958400000003	4.100081800000014	1.563958400000003	16	stim1	n/a	n/a	n/a
230.3173848	0.019419500000018162	2.5361234000000112	n/a	16	choice1	0	n/a	n/a
232.85350820000002	0.5239158999999927	2.533324499999988	0.5239158999999927	16	stim2	n/a	1	n/a
233.37742409999998	0.009408599999995203	2.009408599999995	n/a	16	choice2	n/a	1	n/a
235.3868327	1.5	n/a	n/a	16	outcome	n/a	n/a	0
236.88683269999996	6.566812400000025	10.933536400000012	n/a	16	ITI_onset	n/a	n/a	n/a
243.45364510000002	0.3388225000000093	4.366723999999987	0.3388225000000093	17	stim1	n/a	n/a	n/a
243.7924676	0.011198099999979604	4.027901499999978	n/a	17	choice1	1	n/a	n/a
247.8203691	0.669954299999983	8.183343500000017	0.669954299999983	17	stim2	n/a	0	n/a
248.49032339999997	0.01338920000003418	7.513389200000034	n/a	17	choice2	n/a	0	n/a
256.00371260000003	1.5	n/a	n/a	17	outcome	n/a	n/a	1
257.50371260000003	4.066849699999962	7.116907199999958	n/a	17	ITI_onset	n/a	n/a	n/a
261.57056229999995	0.5217084000000032	3.0500574999999954	0.5217084000000032	18	stim1	n/a	n/a	n/a
262.0922707	0.011633499999996275	2.5283490999999922	n/a	18	choice1	1	n/a	n/a
264.6206198	0.8387002000000211	3.85002290000004	0.8387002000000211	18	stim2	n/a	0	n/a
265.45932	0.011322700000018813	3.0113227000000187	n/a	18	choice2	n/a	0	n/a
268.4706427	1.5	n/a	n/a	18	outcome	n/a	n/a	1
269.9706427	5.066791399999987	10.78356309999997	n/a	18	ITI_onset	n/a	n/a	n/a
275.0374341	0.6825507999999681	5.716771699999983	0.6825507999999681	19	stim1	n/a	n/a	n/a
275.7199849	0.017472900000051594	5.034220900000014	n/a	19	choice1	1	n/a	n/a
280.75420579999997	1.082760799999989	6.600019800000009	1.082760799999989	19	stim2	n/a	1	n/a
281.8369666	0.017259000000020022	5.51725900000002	n/a	19	choice2	n/a	1	n/a
287.3542256	1.5	n/a	n/a	19	outcome	n/a	n/a	0
