onset	duration	duration2fb	response_time	trial	event	choice1	state	reward
0.0	2.0991191099999997	5.666845993999999	2.0991191099999997	1	stim1	n/a	n/a	n/a
2.09911911	0.017925124000001232	3.567726884	n/a	1	choice1	0	n/a	n/a
5.666845993999999	0.847135030999998	6.366772275000003	0.847135030999998	1	stim2	n/a	1	n/a
6.513981025	0.019637244000001376	5.519637244000005	n/a	1	choice2	n/a	1	n/a
12.033618269000002	1.5	n/a	n/a	1	outcome	n/a	n/a	0
13.533618269000002	2.5666534820000013	9.016800392999997	n/a	1	ITI_onset	n/a	n/a	n/a
16.100271751	0.9277525359999926	6.4501469109999965	0.9277525359999926	2	stim1	n/a	n/a	n/a
17.028024286999994	0.005597992000002705	5.522394375000004	n/a	2	choice1	1	n/a	n/a
22.550418662	2.7792081259999977	5.300007635000002	2.7792081259999977	2	stim2	n/a	0	n/a
25.329626788	0.020799509000004036	2.520799509000004	n/a	2	choice2	n/a	0	n/a
27.850426297	1.5	n/a	n/a	2	outcome	n/a	n/a	1
29.350426297	2.5667981629999996	10.433686888999997	n/a	2	ITI_onset	n/a	n/a	n/a
31.91722446	2.837599196000003	7.866888725999997	2.837599196000003	3	stim1	n/a	n/a	n/a
34.754823656000006	0.01267199399999663	5.0292895299999945	n/a	3	choice1	0	n/a	n/a
39.78411318599999	1.3429108730000079	4.849943490999991	1.3429108730000079	3	stim2	n/a	0	n/a
41.127024059	0.0070326179999829035	3.507032617999983	n/a	3	choice2	n/a	0	n/a
44.634056677	1.5	n/a	n/a	3	outcome	n/a	n/a	1
46.134056677	6.566880288	11.816928329000017	n/a	3	ITI_onset	n/a	n/a	n/a
52.70093696499999	2.218169640000022	5.250048041000016	2.218169640000022	4	stim1	n/a	n/a	n/a
54.91910660500002	0.015148583999980474	3.0318784009999944	n/a	4	choice1	0	n/a	n/a
57.950985006	1.048598914000002	3.066679305999991	1.048598914000002	4	stim2	n/a	0	n/a
58.99958392000001	0.018080391999988933	2.018080391999989	n/a	4	choice2	n/a	0	n/a
61.017664312	1.5	n/a	n/a	4	outcome	n/a	n/a	1
62.517664312	2.5668313659999984	8.516895992000006	n/a	4	ITI_onset	n/a	n/a	n/a
65.084495678	0.9205903140000155	5.950064626000007	0.9205903140000155	5	stim1	n/a	n/a	n/a
66.005085992	0.012664614999986952	5.029474311999992	n/a	5	choice1	1	n/a	n/a
71.034560304	1.0115225609999907	3.0166387079999986	1.0115225609999907	5	stim2	n/a	1	n/a
72.04608286499999	0.0051161470000079135	2.005116147000008	n/a	5	choice2	n/a	1	n/a
74.05119901200001	1.5	n/a	n/a	5	outcome	n/a	n/a	0
75.55119901200001	2.566837461999996	7.766926708999992	n/a	5	ITI_onset	n/a	n/a	n/a
78.11803647400001	1.6701290810000065	5.200089246999997	1.6701290810000065	6	stim1	n/a	n/a	n/a
79.788165555	0.013178539999993518	3.5299601659999897	n/a	6	choice1	0	n/a	n/a
83.318125721	0.7929204810000083	5.799978121000008	0.7929204810000083	6	stim2	n/a	0	n/a
84.11104620200001	0.007057639999999083	5.007057639999999	n/a	6	choice2	n/a	0	n/a
89.11810384200001	1.5	n/a	n/a	6	outcome	n/a	n/a	1
90.61810384200001	6.066899537000005	10.050288096999997	n/a	6	ITI_onset	n/a	n/a	n/a
96.685003379	1.9509609460000066	3.9833885599999923	1.9509609460000066	7	stim1	n/a	n/a	n/a
