onset	duration	duration2fb	response_time	trial	event	choice1	state	reward
0.0	1.729795299999998	4.266735000000001	1.729795299999998	1	stim1	n/a	n/a	n/a
1.7297952999999993	0.020466400000001158	2.5369397000000027	n/a	1	choice1	1	n/a	n/a
4.266735000000001	2.5560838999999977	6.066670499999996	2.5560838999999977	1	stim2	n/a	0	n/a
6.822818899999998	0.010586599999998725	3.5105865999999986	n/a	1	choice2	n/a	0	n/a
10.333405499999998	1.5	n/a	n/a	1	outcome	n/a	n/a	0
11.833405499999998	3.566813099999999	6.850187200000001	n/a	1	ITI_onset	n/a	n/a	n/a
15.400218599999995	0.756079700000002	3.283374100000001	0.756079700000002	2	stim1	n/a	n/a	n/a
16.156298299999996	0.010601900000001479	2.527294399999999	n/a	2	choice1	0	n/a	n/a
18.6835927	3.1104388000000034	7.116714100000005	3.1104388000000034	2	stim2	n/a	0	n/a
21.794031500000003	0.006275300000001153	4.006275300000001	n/a	2	choice2	n/a	0	n/a
25.8003068	1.5	n/a	n/a	2	outcome	n/a	n/a	1
27.3003068	8.066885599999994	21.0670525	n/a	2	ITI_onset	n/a	n/a	n/a
35.36719239999999	8.963127700000005	13.000166900000004	8.963127700000005	3	stim1	n/a	n/a	n/a
44.3303201	0.020298599999994622	4.037039199999999	n/a	3	choice1	0	n/a	n/a
48.3673593	0.46040119999999296	7.466673999999999	0.46040119999999296	3	stim2	n/a	1	n/a
48.82776049999999	0.0062728000000061	7.006272800000006	n/a	3	choice2	n/a	1	n/a
55.834033299999994	1.5	n/a	n/a	3	outcome	n/a	n/a	0
57.334033299999994	3.5668337000000028	7.616890599999999	n/a	3	ITI_onset	n/a	n/a	n/a
60.900867	1.0248733999999968	4.050056899999996	1.0248733999999968	4	stim1	n/a	n/a	n/a
61.9257404	0.008494200000001001	3.0251834999999994	n/a	4	choice1	1	n/a	n/a
64.95092389999999	1.1818101000000025	8.200060100000002	1.1818101000000025	4	stim2	n/a	1	n/a
66.132734	0.01825	7.01825	n/a	4	choice2	n/a	1	n/a
73.150984	1.5	n/a	n/a	4	outcome	n/a	n/a	1
74.650984	3.5668511	12.466955499999996	n/a	4	ITI_onset	n/a	n/a	n/a
78.2178351	1.373236499999999	8.900104399999996	1.373236499999999	5	stim1	n/a	n/a	n/a
79.59107159999999	0.010072400000004563	7.526867899999997	n/a	5	choice1	1	n/a	n/a
87.1179395	1.3882213999999948	4.400021099999998	1.3882213999999948	5	stim2	n/a	0	n/a
88.5061609	0.011799700000003212	3.011799700000003	n/a	5	choice2	n/a	0	n/a
91.51796060000001	1.5	n/a	n/a	5	outcome	n/a	n/a	0
93.01796060000001	6.0668557	14.433590500000006	n/a	5	ITI_onset	n/a	n/a	n/a
99.0848163	0.8373825999999972	8.366734800000005	0.8373825999999972	6	stim1	n/a	n/a	n/a
99.92219889999998	0.012548099999999977	7.529352200000009	n/a	6	choice1	1	n/a	n/a
107.45155109999999	0.2839713999999949	5.3000090000000055	0.2839713999999949	6	stim2	n/a	1	n/a
107.7355225	0.01603760000001057	5.01603760000001	n/a	6	choice2	n/a	1	n/a
112.7515601	1.5	n/a	n/a	6	outcome	n/a	n/a	0
114.2515601	4.566861699999979	9.700222999999998	n/a	6	ITI_onset	n/a	n/a	n/a
118.81842179999998	0.5997082000000228	5.1333613000000184	0.5997082000000228	7	stim1	n/a	n/a	n/a
119.41812999999999	0.016928699999989475	4.533653099999996	n/a	7	choice1	0	n/a	n/a
123.9517831	1.238364100000006	3.7500020999999832	1.238364100000006	7	stim2	n/a	1	n/a
125.19014720000001	0.011637999999977182	2.5116379999999774	n/a	7	choice2	n/a	1	n/a
127.70178519999999	1.5	n/a	n/a	7	outcome	n/a	n/a	1
129.2017852	4.0667869000000065	14.900291100000002	n/a	7	ITI_onset	n/a	n/a	n/a
133.2685721	6.304616800000018	10.833504199999997	6.304616800000018	8	stim1	n/a	n/a	n/a
139.5731889	0.012124099999986357	4.528887399999978	n/a	8	choice1	0	n/a	n/a
144.1020763	1.4971012000000046	4.516673100000014	1.4971012000000046	8	stim2	n/a	1	n/a
145.5991775	0.01957190000000992	3.01957190000001	n/a	8	choice2	n/a	1	n/a
148.61874939999998	1.5	n/a	n/a	8	outcome	n/a	n/a	1
150.11874939999998	3.5668032999999997	10.616932499999995	n/a	8	ITI_onset	n/a	n/a	n/a
153.6855527	0.520030299999984	7.050129199999995	0.520030299999984	9	stim1	n/a	n/a	n/a
154.205583	0.01337290000001667	6.530098900000012	n/a	9	choice1	1	n/a	n/a
160.7356819	0.31590630000000236	6.3333214999999905	0.31590630000000236	9	stim2	n/a	0	n/a
161.0515882	0.017415199999988546	6.017415199999989	n/a	9	choice2	n/a	0	n/a
167.06900339999999	1.5	n/a	n/a	9	outcome	n/a	n/a	1
168.56900339999999	4.5668466000000185	6.916861200000014	n/a	9	ITI_onset	n/a	n/a	n/a
173.13585	0.31918899999998396	2.350014599999995	0.31918899999998396	10	stim1	n/a	n/a	n/a
173.455039	0.01412750000000233	2.030825600000011	n/a	10	choice1	1	n/a	n/a
175.48586459999999	10.091031599999987	15.100156400000007	10.091031599999987	10	stim2	n/a	0	n/a
185.5768962	0.009124800000019605	5.00912480000002	n/a	10	choice2	n/a	0	n/a
190.58602100000002	1.5	n/a	n/a	10	outcome	n/a	n/a	0
192.08602100000002	7.566930899999978	13.266939799999992	n/a	10	ITI_onset	n/a	n/a	n/a
199.65295189999998	0.6786515000000072	5.700008900000015	0.6786515000000072	11	stim1	n/a	n/a	n/a
