onset	duration	duration2fb	response_time	trial	event	choice1	state	reward
0.0	0.3515292139999983	5.883433119000001	0.3515292139999983	1	stim1	n/a	n/a	n/a
0.35152921399999926	0.015402980000002571	5.531903905000003	n/a	1	choice1	1	n/a	n/a
5.883433119000003	0.3876521439999997	3.399940137999998	0.3876521439999997	1	stim2	n/a	0	n/a
6.271085263000003	0.012287993999998435	3.0122879939999985	n/a	1	choice2	n/a	0	n/a
9.283373256999997	1.5	n/a	n/a	1	outcome	n/a	n/a	0
10.783373256999997	3.0668809299999995	6.866904926000003	n/a	1	ITI_onset	n/a	n/a	n/a
13.850254187	0.27624439900000286	3.8000239960000037	0.27624439900000286	2	stim1	n/a	n/a	n/a
14.126498586	0.007510137000004761	3.5237795970000008	n/a	2	choice1	0	n/a	n/a
17.650278183	0.4212814819999985	6.9333407439999934	0.4212814819999985	2	stim2	n/a	0	n/a
18.071559665	0.012059261999995215	6.512059261999995	n/a	2	choice2	n/a	0	n/a
24.583618927	1.5	n/a	n/a	2	outcome	n/a	n/a	0
26.083618927	4.066871146000005	9.466972006000011	n/a	2	ITI_onset	n/a	n/a	n/a
30.150490073000004	0.8700592100000067	5.4001008600000056	0.8700592100000067	3	stim1	n/a	n/a	n/a
31.020549283000012	0.013317446999986713	4.530041649999999	n/a	3	choice1	1	n/a	n/a
35.55059093300001	0.5474384129999962	6.566653161000009	0.5474384129999962	3	stim2	n/a	1	n/a
36.098029346000004	0.019214748000005784	6.019214748000013	n/a	3	choice2	n/a	1	n/a
42.117244094000014	1.5	n/a	n/a	3	outcome	n/a	n/a	1
43.617244094000014	3.0668514159999902	11.016975068999978	n/a	3	ITI_onset	n/a	n/a	n/a
46.684095510000006	0.4148850139999995	7.950123652999988	0.4148850139999995	4	stim1	n/a	n/a	n/a
47.098980524	0.018493905999988784	7.535238638999989	n/a	4	choice1	1	n/a	n/a
54.634219163	0.3153199890000105	4.833310878000004	0.3153199890000105	4	stim2	n/a	1	n/a
54.949539152	0.01799088899999333	4.517990888999993	n/a	4	choice2	n/a	1	n/a
59.46753004099999	1.5	n/a	n/a	4	outcome	n/a	n/a	1
60.96753004099999	3.5668668139999937	6.150227014999997	n/a	4	ITI_onset	n/a	n/a	n/a
64.53439685499998	0.5515206170000165	2.583360201000003	0.5515206170000165	5	stim1	n/a	n/a	n/a
65.085917472	0.015151471999997739	2.0318395839999868	n/a	5	choice1	1	n/a	n/a
67.11775705599999	0.6052440190000052	3.116700495000012	0.6052440190000052	5	stim2	n/a	1	n/a
67.723001075	0.01145647600000666	2.511456476000007	n/a	5	choice2	n/a	1	n/a
70.234457551	1.5	n/a	n/a	5	outcome	n/a	n/a	1
71.734457551	3.066818533999991	5.666799478999994	n/a	5	ITI_onset	n/a	n/a	n/a
74.801276085	0.5745942900000082	2.599980945000003	0.5745942900000082	6	stim1	n/a	n/a	n/a
75.375870375	0.008648176999995484	2.025386654999995	n/a	6	choice1	1	n/a	n/a
77.40125703	0.45569902900001036	8.46662072800001	0.45569902900001036	6	stim2	n/a	1	n/a
77.85695605900001	0.010921698999998626	8.010921698999999	n/a	6	choice2	n/a	1	n/a
85.867877758	1.5	n/a	n/a	6	outcome	n/a	n/a	1
87.367877758	6.567023846999989	11.533752203999974	n/a	6	ITI_onset	n/a	n/a	n/a
93.934901605	0.9410157679999975	4.966728356999986	0.9410157679999975	7	stim1	n/a	n/a	n/a
