onset	duration	duration2fb	response_time	trial	event	choice1	state	reward
0.0	0.6358157940000019	3.1833706590000004	0.6358157940000019	1	stim1	n/a	n/a	n/a
0.6358157940000027	0.014454689999991388	2.547554864999998	n/a	1	choice1	1	n/a	n/a
3.1833706589999977	0.3949795789999989	4.8999994860000005	0.3949795789999989	1	stim2	n/a	0	n/a
3.5783502379999987	0.0050199070000016945	4.505019907000002	n/a	1	choice2	n/a	0	n/a
8.083370144999996	1.5	n/a	n/a	1	outcome	n/a	n/a	1
9.583370144999996	5.566860398999998	8.866956093999994	n/a	1	ITI_onset	n/a	n/a	n/a
15.150230543999996	0.779040989000001	3.3000956949999964	0.779040989000001	2	stim1	n/a	n/a	n/a
15.929271532999998	0.004282703999997466	2.5210547059999953	n/a	2	choice1	1	n/a	n/a
18.450326238999992	0.40048518100000363	2.9166596900000004	0.40048518100000363	2	stim2	n/a	1	n/a
18.850811419999992	0.01617450899999676	2.5161745089999967	n/a	2	choice2	n/a	1	n/a
21.366985928999995	1.5	n/a	n/a	2	outcome	n/a	n/a	0
22.866985928999995	3.0668239870000034	6.400199025000009	n/a	2	ITI_onset	n/a	n/a	n/a
25.933809915999994	0.3095372150000039	3.3333750380000056	0.3095372150000039	3	stim1	n/a	n/a	n/a
26.243347131	0.007104798000000301	3.023837823000002	n/a	3	choice1	0	n/a	n/a
29.267184954	0.3416023219999915	4.849936753999987	0.3416023219999915	3	stim2	n/a	0	n/a
29.608787275999994	0.00833443200000329	4.508334431999996	n/a	3	choice2	n/a	0	n/a
34.11712170799999	1.5	n/a	n/a	3	outcome	n/a	n/a	1
35.61712170799999	2.066845482000004	4.616883031000005	n/a	3	ITI_onset	n/a	n/a	n/a
37.68396719	0.5182849030000071	2.5500375490000007	0.5182849030000071	4	stim1	n/a	n/a	n/a
38.202252093000006	0.015017697000002954	2.0317526459999935	n/a	4	choice1	0	n/a	n/a
40.23400473899999	0.5333173580000002	8.549949009000004	0.5333173580000002	4	stim2	n/a	0	n/a
40.767322097	0.01663165100000333	8.016631651000003	n/a	4	choice2	n/a	0	n/a
48.783953747999995	1.5	n/a	n/a	4	outcome	n/a	n/a	1
50.283953747999995	5.066958243000001	13.067091696999997	n/a	4	ITI_onset	n/a	n/a	n/a
55.350911991	0.4733684740000026	8.000133453999995	0.4733684740000026	5	stim1	n/a	n/a	n/a
55.82428046500001	0.009966671999995015	7.526764979999992	n/a	5	choice1	0	n/a	n/a
63.35104544499999	0.4308558130000019	2.9500612570000087	0.4308558130000019	5	stim2	n/a	0	n/a
63.781901258	0.01920544400000654	2.5192054440000065	n/a	5	choice2	n/a	0	n/a
66.301106702	1.5	n/a	n/a	5	outcome	n/a	n/a	1
67.801106702	2.066739616999999	6.916823778999999	n/a	5	ITI_onset	n/a	n/a	n/a
69.867846319	0.32923733499999797	4.850084161999999	0.32923733499999797	6	stim1	n/a	n/a	n/a
70.19708365400001	0.004051086000006763	4.5208468270000015	n/a	6	choice1	1	n/a	n/a
74.717930481	0.49419075999998313	4.499968401999999	0.49419075999998313	6	stim2	n/a	0	n/a
75.21212124099998	0.005777642000015476	4.005777642000015	n/a	6	choice2	n/a	0	n/a
