onset	duration	duration2fb	response_time	trial	event	choice1	state	reward
0.0	0.5516830000000009	6.083379299999997	0.5516830000000009	1	stim1	n/a	n/a	n/a
0.5516830000000041	0.015385499999996681	5.531696299999996	n/a	1	choice1	1	n/a	n/a
6.083379299999997	0.8547956000000049	3.866714400000004	0.8547956000000049	1	stim2	n/a	0	n/a
6.9381749	0.011918799999999464	3.0119187999999997	n/a	1	choice2	n/a	0	n/a
9.950093700000004	1.5	n/a	n/a	1	outcome	n/a	n/a	1
11.450093700000004	2.5667705999999963	6.2501742999999985	n/a	1	ITI_onset	n/a	n/a	n/a
14.016864300000002	0.6598748000000051	3.6834037000000026	0.6598748000000051	2	stim1	n/a	n/a	n/a
14.676739100000006	0.00724082400000043	3.0235288999999974	n/a	2	choice1	1	n/a	n/a
17.700268	0.6158744000000006	3.1333439	0.6158744000000006	2	stim2	n/a	1	n/a
18.316142400000004	0.017469499999999243	2.5174694999999994	n/a	2	choice2	n/a	1	n/a
20.8336119	1.5	n/a	n/a	2	outcome	n/a	n/a	0
22.3336119	3.066773000000001	9.3668301	n/a	2	ITI_onset	n/a	n/a	n/a
25.400384900000006	0.26871710000000165	6.300057099999998	0.26871710000000165	3	stim1	n/a	n/a	n/a
25.669102000000002	0.014604199999994308	6.031339999999997	n/a	3	choice1	1	n/a	n/a
31.700442000000002	0.6513161000000036	4.666674200000001	0.6513161000000036	3	stim2	n/a	1	n/a
32.3517581	0.015358099999997649	4.015358099999998	n/a	3	choice2	n/a	1	n/a
36.3671162	1.5	n/a	n/a	3	outcome	n/a	n/a	1
37.8671162	5.5668482999999975	10.883570599999992	n/a	3	ITI_onset	n/a	n/a	n/a
43.4339645	0.7810847999999969	5.316722299999994	0.7810847999999969	4	stim1	n/a	n/a	n/a
44.21504929999999	0.018914199999999257	4.535637499999997	n/a	4	choice1	1	n/a	n/a
48.7506868	0.7124808000000048	6.216635800000003	0.7124808000000048	4	stim2	n/a	1	n/a
49.463167600000006	0.004154999999998836	5.504154999999999	n/a	4	choice2	n/a	1	n/a
54.9673226	1.5	n/a	n/a	4	outcome	n/a	n/a	0
56.4673226	7.066906100000008	11.93364910000001	n/a	4	ITI_onset	n/a	n/a	n/a
63.5342287	0.33975539999999455	4.866743000000002	0.33975539999999455	5	stim1	n/a	n/a	n/a
63.8739841	0.010268400000000838	4.526987600000008	n/a	5	choice1	1	n/a	n/a
68.40097170000001	0.7410812999999907	2.750039699999994	0.7410812999999907	5	stim2	n/a	0	n/a
69.142053	0.008958400000003166	2.008958400000003	n/a	5	choice2	n/a	0	n/a
71.1510114	1.5	n/a	n/a	5	outcome	n/a	n/a	1
72.6510114	2.566728900000002	7.416802400000001	n/a	5	ITI_onset	n/a	n/a	n/a
75.2177403	0.8158726999999926	4.850073499999999	0.8158726999999926	6	stim1	n/a	n/a	n/a
76.03361299999999	0.017460500000001048	4.034200800000006	n/a	6	choice1	1	n/a	n/a
80.0678138	0.5668236000000033	2.583378500000006	0.5668236000000033	6	stim2	n/a	1	n/a
80.6346374	0.016554900000002818	2.0165549000000027	n/a	6	choice2	n/a	1	n/a
82.6511923	1.5	n/a	n/a	6	outcome	n/a	n/a	0
84.1511923	3.5667348999999957	9.416799799999993	n/a	6	ITI_onset	n/a	n/a	n/a
87.7179272	0.32067579999999724	5.850064899999998	0.32067579999999724	7	stim1	n/a	n/a	n/a
88.038603	0.012647299999996904	5.5293891	n/a	7	choice1	1	n/a	n/a
93.5679921	0.6336082999999926	3.6500353999999935	0.6336082999999926	7	stim2	n/a	1	n/a
94.20160039999999	0.01642710000000079	3.016427100000001	n/a	7	choice2	n/a	1	n/a
97.21802749999999	1.5	n/a	n/a	7	outcome	n/a	n/a	0
98.71802749999999	2.566713300000003	4.966789300000004	n/a	7	ITI_onset	n/a	n/a	n/a
101.2847408	0.36417070000001694	2.4000760000000008	0.36417070000001694	8	stim1	n/a	n/a	n/a
101.64891150000001	0.019214899999991757	2.035905299999984	n/a	8	choice1	0	n/a	n/a
103.68481680000001	0.6744016000000119	4.683349799999997	0.6744016000000119	8	stim2	n/a	0	n/a
104.35921840000002	0.008948199999984354	4.008948199999985	n/a	8	choice2	n/a	0	n/a
108.36816659999998	1.5	n/a	n/a	8	outcome	n/a	n/a	1
109.86816659999998	2.0667323000000035	5.133459600000002	n/a	8	ITI_onset	n/a	n/a	n/a
111.9348989	0.5351688999999896	3.066727299999999	0.5351688999999896	9	stim1	n/a	n/a	n/a
112.4700678	0.014940000000002328	2.531558400000009	n/a	9	choice1	0	n/a	n/a
115.00162619999999	0.655288499999995	4.666652900000016	0.655288499999995	9	stim2	n/a	0	n/a
115.6569147	0.011364400000020395	4.01136440000002	n/a	9	choice2	n/a	0	n/a
119.66827910000002	1.5	n/a	n/a	9	outcome	n/a	n/a	1
121.16827910000002	2.0668285999999787	5.616828899999994	n/a	9	ITI_onset	n/a	n/a	n/a
123.2351077	0.5127945000000181	3.5500003000000144	0.5127945000000181	10	stim1	n/a	n/a	n/a
123.74790220000001	0.02054170000000158	3.037205799999996	n/a	10	choice1	1	n/a	n/a
126.785108	0.774393699999986	6.7833692999999915	0.774393699999986	10	stim2	n/a	1	n/a
127.55950169999998	0.008975600000005215	6.008975600000006	n/a	10	choice2	n/a	1	n/a
133.56847729999998	1.5	n/a	n/a	10	outcome	n/a	n/a	0
135.06847729999998	3.5668484000000173	10.366869399999995	n/a	10	ITI_onset	n/a	n/a	n/a
138.6353257	0.2726391000000003	6.800020999999979	0.2726391000000003	11	stim1	n/a	n/a	n/a
138.9079648	0.010677499999990687	6.527381899999979	n/a	11	choice1	0	n/a	n/a
145.43534669999997	1.1327110000000102	5.150074400000012	1.1327110000000102	11	stim2	n/a	0	n/a
146.5680577	0.017363400000002003	4.017363400000002	n/a	11	choice2	n/a	0	n/a
150.58542110000002	1.5	n/a	n/a	11	outcome	n/a	n/a	1
152.08542110000002	2.0667735000000103	6.466835499999987	n/a	11	ITI_onset	n/a	n/a	n/a
154.15219460000003	0.36662799999999696	4.400061999999976	0.36662799999999696	12	stim1	n/a	n/a	n/a
154.51882260000002	0.016709699999977602	4.033433999999979	n/a	12	choice1	1	n/a	n/a
158.55225659999996	0.9379039000000048	5.450006699999998	0.9379039000000048	12	stim2	n/a	0	n/a
159.4901605	0.012102799999993294	4.512102799999993	n/a	12	choice2	n/a	0	n/a
164.00226329999998	1.5	n/a	n/a	12	outcome	n/a	n/a	1
165.50226329999998	5.566853400000022	9.900222300000022	n/a	12	ITI_onset	n/a	n/a	n/a
171.0691167	0.3007911000000022	4.333368900000002	0.3007911000000022	13	stim1	n/a	n/a	n/a
171.36990780000002	0.01585639999998966	4.032577799999999	n/a	13	choice1	0	n/a	n/a
175.40248560000003	1.2074921999999788	4.216681599999982	1.2074921999999788	13	stim2	n/a	0	n/a
176.60997779999997	0.009189400000002934	3.009189400000003	n/a	13	choice2	n/a	0	n/a
179.6191672	1.5	n/a	n/a	13	outcome	n/a	n/a	0
181.1191672	4.5668105999999975	10.966885299999994	n/a	13	ITI_onset	n/a	n/a	n/a
185.6859778	0.370512000000017	6.400074699999998	0.370512000000017	14	stim1	n/a	n/a	n/a
186.0564898	0.012818399999989197	6.02956269999998	n/a	14	choice1	0	n/a	n/a
192.0860525	0.6888712000000232	7.700014100000001	0.6888712000000232	14	stim2	n/a	0	n/a
192.7749237	0.01114289999997709	7.011142899999977	n/a	14	choice2	n/a	0	n/a
199.78606659999997	1.5	n/a	n/a	14	outcome	n/a	n/a	0
201.28606659999997	5.066880499999999	8.466968300000008	n/a	14	ITI_onset	n/a	n/a	n/a
206.3529471	0.3754619000000239	3.4000878000000085	0.3754619000000239	15	stim1	n/a	n/a	n/a
206.728409	0.007853299999987939	3.0246258999999847	n/a	15	choice1	0	n/a	n/a
209.7530349	0.4148078000000096	5.933276000000013	0.4148078000000096	15	stim2	n/a	1	n/a
210.1678427	0.01846820000000298	5.518468200000003	n/a	15	choice2	n/a	1	n/a
215.68631090000002	1.5	n/a	n/a	15	outcome	n/a	n/a	1
217.18631090000002	7.566873699999997	11.233595600000001	n/a	15	ITI_onset	n/a	n/a	n/a
224.7531846	0.6322478999999875	3.666721900000004	0.6322478999999875	16	stim1	n/a	n/a	n/a
225.38543249999998	0.01775109999999404	3.0344740000000163	n/a	16	choice1	1	n/a	n/a
228.41990649999997	1.6085025000000024	9.116747399999992	1.6085025000000024	16	stim2	n/a	1	n/a
230.028409	0.008244899999990594	7.5082448999999905	n/a	16	choice2	n/a	1	n/a
237.53665389999998	1.5	n/a	n/a	16	outcome	n/a	n/a	0
239.03665389999998	2.5667615000000223	8.533512899999973	n/a	16	ITI_onset	n/a	n/a	n/a
241.60341540000002	0.44299009999999545	5.96675139999995	0.44299009999999545	17	stim1	n/a	n/a	n/a
