onset	duration	duration2fb	response_time	trial	event	choice1	state	reward
0.0	0.4034804460000014	3.9334002100000034	0.4034804460000014	1	stim1	n/a	n/a	n/a
0.40348044599999966	0.01338386200000241	3.529919764000002	n/a	1	choice1	0	n/a	n/a
3.933400210000002	0.3970089059999991	4.916826131999994	0.3970089059999991	1	stim2	n/a	0	n/a
4.330409116000002	0.01981722599999921	4.519817225999995	n/a	1	choice2	n/a	0	n/a
8.850226341999996	1.5	n/a	n/a	1	outcome	n/a	n/a	1
10.350226341999996	3.0666687630000014	9.550156279000003	n/a	1	ITI_onset	n/a	n/a	n/a
13.416895104999998	0.4493561019999979	6.483487516000001	0.4493561019999979	2	stim1	n/a	n/a	n/a
13.866251206999994	0.017337105000005976	6.0341314140000035	n/a	2	choice1	0	n/a	n/a
19.900382621000002	0.2957005780000036	3.3166059650000026	0.2957005780000036	2	stim2	n/a	0	n/a
20.196083199000004	0.02090538699999888	3.0209053869999987	n/a	2	choice2	n/a	0	n/a
23.216988586000003	1.5	n/a	n/a	2	outcome	n/a	n/a	0
24.716988586000003	3.0668623670000015	7.766898328999996	n/a	2	ITI_onset	n/a	n/a	n/a
27.783850953	0.6617886569999973	4.700035961999994	0.6617886569999973	3	stim1	n/a	n/a	n/a
28.445639610000004	0.021514911000005667	4.038247304999997	n/a	3	choice1	0	n/a	n/a
32.483886915	0.45611636400000133	5.4666588820000035	0.45611636400000133	3	stim2	n/a	0	n/a
32.940003278999995	0.01054251800000202	5.010542518000002	n/a	3	choice2	n/a	0	n/a
37.950545797000004	1.5	n/a	n/a	3	outcome	n/a	n/a	0
39.450545797000004	2.566851939999993	7.133588231999995	n/a	3	ITI_onset	n/a	n/a	n/a
42.017397736999996	0.5366569279999966	4.566736292000002	0.5366569279999966	4	stim1	n/a	n/a	n/a
42.554054664999995	0.013295962000003783	4.030079364000005	n/a	4	choice1	1	n/a	n/a
46.584134029	0.40737017000000925	3.416632367000013	0.40737017000000925	4	stim2	n/a	1	n/a
46.991504199000005	0.009262197000003653	3.0092621970000035	n/a	4	choice2	n/a	1	n/a
50.00076639600002	1.5	n/a	n/a	4	outcome	n/a	n/a	0
51.50076639600002	8.06691722399999	11.550301441999997	n/a	4	ITI_onset	n/a	n/a	n/a
59.56768362	0.4546663390000031	3.4833842180000065	0.4546663390000031	5	stim1	n/a	n/a	n/a
60.02234995900001	0.011963028999991366	3.0287178790000033	n/a	5	choice1	1	n/a	n/a
63.05106783800001	0.47450152999999407	6.483309791999986	0.47450152999999407	5	stim2	n/a	1	n/a
63.525569368000006	0.008808261999991374	6.008808261999992	n/a	5	choice2	n/a	1	n/a
69.53437763	1.5	n/a	n/a	5	outcome	n/a	n/a	0
71.03437763	5.566917384000015	8.566952672000014	n/a	5	ITI_onset	n/a	n/a	n/a
76.60129501400002	0.4730640149999963	3.000035287999999	0.4730640149999963	6	stim1	n/a	n/a	n/a
77.07435902900001	0.010270478000005823	2.5269712730000027	n/a	6	choice1	0	n/a	n/a
79.60133030200001	0.8299736269999849	2.850024397000001	0.8299736269999849	6	stim2	n/a	0	n/a
80.431303929	0.0200507700000162	2.020050770000016	n/a	6	choice2	n/a	0	n/a
82.451354699	1.5	n/a	n/a	6	outcome	n/a	n/a	0
83.951354699	8.566887229	14.933622686000003	n/a	6	ITI_onset	n/a	n/a	n/a
92.51824192800001	0.34480414499998735	6.3667354570000025	0.34480414499998735	7	stim1	n/a	n/a	n/a
92.86304607299999	0.005165234000014607	6.0219313120000155	n/a	7	choice1	0	n/a	n/a
98.88497738500001	0.6291332539999858	3.1500039939999986	0.6291332539999858	7	stim2	n/a	0	n/a
99.514110639	0.02087074000001303	2.520870740000013	n/a	7	choice2	n/a	0	n/a
102.03498137900002	1.5	n/a	n/a	7	outcome	n/a	n/a	0
